family,x,y,estimate,p_value,n,ci_low,ci_high
spearman_same_day,abs_etf_flow_musd,us_volume_share,0.027741172347035926,0.5355872225786522,501,,
spearman_same_day,abs_etf_flow_musd,us_trade_share,0.005603219354527958,0.9004406399662979,501,,
spearman_same_day,abs_etf_flow_musd,us_variance_share,0.000536870815150071,0.9904361627012602,501,,
spearman_same_day,abs_etf_flow_musd,us_abs_return_share,0.01911688567977627,0.6694783912206185,501,,
spearman_same_day,etf_turnover_proxy_usd,us_volume_share,0.11085182622802206,0.013040639240431716,501,,
spearman_same_day,etf_turnover_proxy_usd,us_trade_share,0.0662604671135816,0.13859769871103372,501,,
spearman_same_day,etf_turnover_proxy_usd,us_variance_share,0.061545244173008565,0.16899751280059347,501,,
spearman_same_day,etf_turnover_proxy_usd,us_abs_return_share,0.08287701887062529,0.06379713621619154,501,,
quartile_q4_minus_q1,abs_etf_flow_musd,us_volume_share,0.37553087948428154,0.8489966427938056,251,,
quartile_q4_minus_q1,abs_etf_flow_musd,us_trade_share,0.20640350532932228,0.6872920942279969,251,,
quartile_q4_minus_q1,abs_etf_flow_musd,us_variance_share,-0.7945274907409983,0.7143518138368128,251,,
quartile_q4_minus_q1,abs_etf_flow_musd,us_abs_return_share,-0.6544306434506597,0.9895950717766093,251,,
quartile_q4_minus_q1,etf_turnover_proxy_usd,us_volume_share,2.1523673605714775,0.05435656918213516,251,,
quartile_q4_minus_q1,etf_turnover_proxy_usd,us_trade_share,1.4790406777288767,0.1410490454518695,251,,
quartile_q4_minus_q1,etf_turnover_proxy_usd,us_variance_share,1.8155007986860427,0.27446541163120475,251,,
quartile_q4_minus_q1,etf_turnover_proxy_usd,us_abs_return_share,0.42398091899417123,0.17473838874207892,251,,
hac_univariate,log_abs_flow,us_volume_share,0.3737341869137512,0.35008297707552016,501,-0.4101878790925643,1.1576562529200667
hac_univariate,log_abs_flow,us_trade_share,0.08974286856019975,0.8153702925622296,501,-0.6635472004672213,0.8430329375876208
hac_univariate,log_abs_flow,us_variance_share,0.16230393247220076,0.8080177888698927,501,-1.1469003854143094,1.4715082503587111
hac_univariate,log_abs_flow,us_abs_return_share,0.2153528442390879,0.4234663383346149,501,-0.31198345375350084,0.7426891422316766
hac_univariate,log_turnover,us_volume_share,1.1638144773676502,0.00933722524333066,501,0.2862930551194004,2.0413358996159
hac_univariate,log_turnover,us_trade_share,0.6229354643415591,0.23768725118303036,501,-0.4110810464908651,1.6569519751739832
hac_univariate,log_turnover,us_variance_share,0.9570553458154663,0.15694249645850028,501,-0.36821587775174835,2.282326569382681
hac_univariate,log_turnover,us_abs_return_share,0.6226268148199904,0.05078784473460806,501,-0.0021458963671616704,1.2473995260071424
hac_controlled,log_abs_flow,us_volume_share,0.8872163473231939,0.04078728605178521,501,0.03716206502714403,1.7372706296192437
hac_controlled,log_abs_flow,us_trade_share,0.7363418957608725,0.0648967263872666,501,-0.04548608808702648,1.5181698796087715
hac_controlled,log_abs_flow,us_variance_share,1.1022044455099707,0.1326096803879791,501,-0.33428402565467374,2.538692916674615
hac_controlled,log_abs_flow,us_abs_return_share,0.6232178958446005,0.02861526967895753,501,0.0651326758871178,1.1813031158020832
hac_controlled,log_turnover,us_volume_share,3.1282442304831015,1.7973219836306486e-06,501,1.8441825430988148,4.412305917867388
hac_controlled,log_turnover,us_trade_share,3.5242879308460653,1.0420416434602054e-07,501,2.225679455629649,4.8228964060624815
hac_controlled,log_turnover,us_variance_share,5.087678360845038,2.0863736712810346e-07,501,3.1668650426532485,7.008491679036827
hac_controlled,log_turnover,us_abs_return_share,2.249588267554703,3.979520155416135e-06,501,1.2936551158734266,3.2055214192359793
spearman_lag1,log_abs_flow_lag1,us_volume_share,-0.039465974490673725,0.3785233246662266,500,,
spearman_lag1,log_abs_flow_lag1,us_trade_share,-0.022378759479388187,0.6176283901864815,500,,
spearman_lag1,log_abs_flow_lag1,us_variance_share,-0.023171243143832808,0.6052278195369214,500,,
spearman_lag1,log_abs_flow_lag1,us_abs_return_share,-0.012204344432891033,0.7854493687163667,500,,
spearman_lag1,log_turnover_lag1,us_volume_share,-0.08437992151968607,0.05937132054118116,500,,
spearman_lag1,log_turnover_lag1,us_trade_share,-0.08296593186372746,0.0637780436915645,500,,
spearman_lag1,log_turnover_lag1,us_variance_share,-0.04955146220584883,0.26876520550880284,500,,
spearman_lag1,log_turnover_lag1,us_abs_return_share,-0.07577137508550033,0.09055209176737006,500,,
spearman_lead1,log_abs_flow,us_volume_share,-0.039465974490673725,0.3785233246662266,500,,
spearman_lead1,log_abs_flow,us_trade_share,-0.022378759479388187,0.6176283901864815,500,,
spearman_lead1,log_abs_flow,us_variance_share,-0.023171243143832808,0.6052278195369214,500,,
spearman_lead1,log_abs_flow,us_abs_return_share,-0.012204344432891033,0.7854493687163667,500,,
spearman_lead1,log_turnover,us_volume_share,-0.08437992151968607,0.05937132054118116,500,,
spearman_lead1,log_turnover,us_trade_share,-0.08296593186372746,0.0637780436915645,500,,
spearman_lead1,log_turnover,us_variance_share,-0.04955146220584883,0.26876520550880284,500,,
spearman_lead1,log_turnover,us_abs_return_share,-0.07577137508550033,0.09055209176737006,500,,
signed_flow_return,etf_net_flow_musd,daily_log_return,0.3223573681903255,1.4072480931815176e-13,501,,
signed_flow_return,etf_net_flow_musd,us_session_log_return,0.29481907833920723,1.665708078042538e-11,501,,
